Card Name,# on Card,Set/Type Name,TCGPlayer Category,Variation,Grandmaster?,Price
,,,,Total (Non-Variants): 59,Total Non-Variants: 59,"$1,059.71"
,,,,Total: 87,Total: 87,"$1,883.90"
Mudbray,107/182 ,Scarlet & Violet - Destined Rivals,SV10: Destined Rivals,Reverse Common,No,$0.01
Mudbray,107/182 ,Scarlet & Violet - Destined Rivals,SV10: Destined Rivals,Common,No,$0.01
Litten,SM02,SM Black Star Promos,SM Promos,Holo Promo,No,$0.50
Piplup,093/130,First Partner Pack,First Partner Pack,Jumbo Holo,Yes,$0.80
Litten,SM02,First Partner Pack,First Partner Pack,Jumbo Holo,Yes,$1.35
Mudsdale,76/145 ,Sun & Moon - Guardians Rising,Deck Exclusives,Non-Holo Rare,Yes,$1.91
Galarian Sirfetch'd V,SWSH043,SWSH Black Star Promos,Jumbo Cards,Jumbo V,Yes,$1.99
Litten,3/12,McDonald's Collection 2017,McDonald's Promos 2017,Holo Promo,No,$2.22
Incineroar ex,034/162 ,Scarlet & Violet - Temporal Forces,Jumbo Cards,Jumbo ex,Yes,$2.81
Ludicolo,034/203 ,Sword & Shield - Evolving Skies,Prize Pack Series Cards,Prize Pack Series,Yes,$2.85
Hisuian Sneasler V,174/189,Sword & Shield - Astral Radiance,SWSH10: Astral Radiance,FA V,No,$3.00
Empoleon V,145/163 ,Sword & Shield - Battle Styles,SWSH05: Battle Styles,FA V,No,$4.00
Incineroar GX,167/181 ,Sun & Moon - Team-Up,SM - Team-Up,FA GX,No,$5.52
Corviknight VMAX,TG19/TG30 ,Sword & Shield - Silver Tempest,SWSH12: Silver Tempest Trainer Gallery,Trainer Gallery Rare Holo VMAX,No,$5.85
Lillie's Clefairy ex,056/159 ,Scarlet & Violet - Journey Together,Prize Pack Series Cards,Prize Pack Series,Yes,$7.00
Chien-Pao,SV152,SVP Black Star Promos,SV: Scarlet & Violet Promo Cards,Holo Promo,No,$7.00
Incineroar,26/149 ,Sun & Moon,Miscellaneous Cards & Products,Water Web Holo,Yes,$7.00
Incineroar GX,27/149,Sun & Moon,Jumbo Cards,Jumbo GX,Yes,$7.50
Incineroar GX,SM38,SM Black Star Promos,Jumbo Cards,Jumbo FA GX,Yes,$8.65
Radiant Hisuian Sneasler,123/196 ,Sword & Shield - Lost Origin,Prize Pack Series Cards,Prize Pack Series,Yes,$15.00
Whirlipede,055/086 ,Scarlet & Violet - Black Bolt,SV: Black Bolt,Master Ball Reverse,No,$16.00
Corviknight V,109/163 ,Sword & Shield - Battle Styles,Prize Pack Series Cards,Prize Pack Series,Yes,$18.99
Corviknight,156/189 ,Sword & Shield - Darkness Ablaze,Miscellaneous Cards & Products,Cosmos Holo Stamp,Yes,$20.00
Hisuian Sneasler V,175/189 ,Sword & Shield - Astral Radiance,SWSH10: Astral Radiance,Alternate FA V,No,$22.99
Incineroar GX,147/145,Sun & Moon - Guardians Rising,SM - Guardians Rising,Rainbow Rare,No,$25.69
Scolipede,056/086 ,Scarlet & Violet - Black Bolt,SV: Black Bolt,Master Ball Reverse,No,$27.00
Empoleon V,040/163 ,Sword & Shield - Battle Styles,Prize Pack Series Cards,Prize Pack Series,Yes,$28.00
Piplup,32/156 ,Sun & Moon - Ultra Prism,SM Trainer Kit: Alolan Sandslash & Alolan Ninetales,"""11"" Stamp",Yes,$35.00
Mudsdale,SM20,SM Black Star Promos,SM Promos,Staff Stamped,Yes,$39.90
Blastoise & Piplup GX,38/236 ,Sun & Moon - Cosmic Eclipse,SM - Cosmic Eclipse,Rare Holo GX,No,$44.99
Piplup,32/156 ,Sun & Moon - Ultra Prism,Miscellaneous Cards & Products,Build-a-Bear Stamp,Yes,$64.99
Piplup,239/236 ,Sun & Moon - Cosmic Eclipse,SM - Cosmic Eclipse,Secret Rare,No,$65.00
Corviknight VMAX,110/163 ,Sword & Shield - Battle Styles,Prize Pack Series Cards,Prize Pack Series,Yes,$65.00
Blastoise & Piplup GX,214/236 ,Sun & Moon - Cosmic Eclipse,SM - Cosmic Eclipse,FA GX,No,$68.79
Mega Clefable ex,119/088 ,Mega Evolution - Perfect Order,ME03: Perfect Order,SIR,No,$70.00
Chien-Pao,152,SVP Black Star Promos,SV: Scarlet & Violet Promo Cards,Staff Stamped,Yes,$84.99
Chien-Pao ex,061/193,Scarlet & Violet - Paldea Evolved,Jumbo Cards,Jumbo ex,Yes,$95.00
Cleffa,SV037,SVP Black Star Promos,SV: Scarlet & Violet Promo Cards,Staff Stamped,Yes,$95.99
Blastoise & Piplup GX,253/236 ,Sun & Moon - Cosmic Eclipse,SM - Cosmic Eclipse,Rainbow Rare,No,$109.95
Lillie's Clefairy ex,184/159 ,Scarlet & Violet - Journey Together,SV09: Journey Together,SIR,No,$120.00
Lillie's Clefairy ex,280/217 ,Mega Evolution - Ascended Heroes,ME: Ascended Heroes,SIR,No,$190.00
Togepi & Cleffa & Igglybuff GX ,143/246 ,Sun & Moon - Cosmic Eclipse,Alternate Art Promos,Alternate Art GX,Yes,$213.85
Blastoise & Piplup GX,215/236,Sun & Moon - Cosmic Eclipse,SM - Cosmic Eclipse,Alt FA GX,No,$237.99
