Card Name,# on Card,Set/Type Name,TCGPlayer Category,Variation,Grandmaster?,Price,
,,,,Total (Non-Variants): 51,Total Non-Variants: 51,"$1,195.84",
,,,,Total: 83,Total: 81,"$2,808.35",
Prinplup,6/12,Diamond & Pearl Trainer Kit,DP Trainer Kit: Manaphy & Lucario,Regular,No,$0.25,
Fletchling,1/30,XY Trainer Kit: Bisharp & Wigglytuff,XY Trainer Kit: Bisharp & Wigglytuff,Regular,No,$0.48,
Prinplup,58/130 ,Diamond & Pearl,World Championship Decks,Akira Miyazaki WC,Yes,$0.49,
Empoleon,17/100 ,Diamond & Pearl - Majestic Dawn,World Championship Decks,Dylan Lefavour WC,Yes,$1.00,
Talonflame,28/146,XY,Blister Exclusives,Cosmos Holo,Yes,$1.02,
Clefable,28/30 ,XY Trainer Kit: Bisharp & Wigglytuff,XY Trainer Kit: Bisharp & Wigglytuff,Regular,No,$1.07,
Clefairy,54/95 ,Pokemon TCG: Call of Legends,Call of Legends,Reverse Common,No,$1.31,
Empoleon,4/130 ,Diamond & Pearl,World Championship Decks,Akira Miyazaki WC,Yes,$1.49,
Piplup,93/130,Diamond & Pearl,World Championship Decks,Akira Miyazaki WC,Yes,$1.75,
Prinplup,58/130 ,Diamond & Pearl,Diamond and Pearl,Reverse Uncommon,No,$1.96,
Piplup,72/100 ,Diamond & Pearl - Majestic Dawn,Countdown Calendar Promos,Gold Snowflake,Yes,$2.00,
Ludicolo,31/135 ,Black & White - Plasma Storm,Plasma Storm,Reverse Rare,No,$2.25,
Cleffa,24/95 ,Pokemon TCG: Call of Legends,World Championship Decks,Gustavo Wawa WC,Yes,$2.25,
Clefairy,77/130 ,Diamond & Pearl,Diamond and Pearl,Reverse Common,No,$2.62,
Cleffa,24/95 ,Pokemon TCG: Call of Legends,Call of Legends,Reverse Rare,No,$2.99,
Cleffa,17/123 ,HeartGold & SoulSilver,HeartGold SoulSilver,Rare,No,$2.99,
Prinplup,58/130 ,Diamond & Pearl,World Championship Decks,Dylan Lefavour WC,Yes,$3.17,
Empoleon,4/130 ,Diamond & Pearl,Diamond and Pearl,Reverse Holo,No,$3.30,
Prinplup,44/100 ,Diamond & Pearl - Majestic Dawn,World Championship Decks,Dylan Lefavour WC,Yes,$3.50,
Cleffa,17/123 ,HeartGold & SoulSilver,World Championship Decks,David Cohen WC,Yes,$3.75,
Clefairy,30/111 ,Neo Genesis,Neo Genesis,1st Edition Uncommon,Yes,$4.00,
Lotad,66/100,EX Sandstorm,World Championship Decks,Michael Gonzalez WC,Yes,$4.00,
Fletchling,11/12,McDonald's Collection 2014,McDonald's Promos 2014,Holo Promo,No,$4.11,
Clefairy,83/132,Diamond & Pearl - Secret Wonders,Secret Wonders,Reverse Common,No,$4.46,
Prinplup,28/108 ,Black & White - Dark Explorers,Dark Explorers,Reverse Uncommon,No,$4.49,
Clefable,3/123 ,HeartGold & SoulSilver,HeartGold SoulSilver,Holo,No,$4.50,
Lombre,46/100 ,EX Sandstorm,Sandstorm,Reverse Uncommon,No,$4.64,
Lotad,63/107 ,EX Deoxys,Deoxys,Reverse Common,No,$4.99,
Piplup,93/130,Diamond & Pearl,Diamond and Pearl,Reverse Common,No,$5.00,
Empoleon BREAK,XY134 ,XY Black Star Promos,Jumbo Cards,Jumbo BREAK,Yes,$5.00,
Empoleon,2/100 ,Diamond & Pearl - Stormfront,Stormfront,Holo,No,$5.26,
Clefairy,13/30 ,XY Trainer Kit: Bisharp & Wigglytuff,XY Trainer Kit: Bisharp & Wigglytuff,Regular,No,$5.30,
Empoleon,BW56,BW Black Star Promos,Black and White Promos,Holo Promo,No,$5.31,
Clefable,16/30 ,XY Trainer Kit: Bisharp & Wigglytuff,XY Trainer Kit: Bisharp & Wigglytuff,Regular,No,$5.99,
Lotad,2/12,McDonald's Collection 2015,McDonald's Promos 2015,Holo Promo,No,$6.01,
Clefable,3/123 ,HeartGold & SoulSilver,HeartGold SoulSilver,Reverse Holo,No,$6.92,
Cleffa,24/95 ,Pokemon TCG: Call of Legends,World Championship Decks,Ross Cawthon WC,Yes,$7.49,
Clefable,17/64,Jungle,Jungle,1st Edition Rare,Yes,$8.00,
Ludicolo,10/107,EX Deoxys,World Championship Decks,Michael Gonzalez WC,Yes,$8.00,
Cleffa,20/111 ,Neo Genesis,Neo Genesis,Rare,No,$8.38,
Scolipede,74/149 ,Black & White - Boundaries Crossed,Boundaries Crossed,Reverse Holo,No,$8.99,
Clefairy,50/83 ,Generations,N/A,20th Anniversary UK Stamp,Yes,$9.29,
Lombre,45/100 ,EX Sandstorm,Sandstorm,Reverse Uncommon,No,$9.30,
Lombre,34/107 ,EX Deoxys,Deoxys,Reverse Uncommon,No,$9.99,
Piplup,72/100 ,Diamond & Pearl - Majestic Dawn,World Championship Decks,Dylan Lefavour WC,Yes,$10.57,
Cleffa,17/123 ,HeartGold & SoulSilver,HeartGold SoulSilver,Reverse Rare,No,$10.99,
Lombre,33/107 ,EX Deoxys,Deoxys,Reverse Uncommon,No,$11.49,
Lotad,67/100 ,EX Sandstorm,Sandstorm,Reverse Common,No,$12.00,
